Epoch 1
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     604.63 Mb     604.63 Mb           128  
                                       cudaLaunchKernel        17.02%     907.000us        17.02%     907.000us      12.425us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            73  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.57%      20.000us      10.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.06%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.000us         0.86%      30.000us       5.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         0.32%      11.000us      11.000us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      52.000us         1.49%      52.000us      10.400us           0 b           0 b           0 b           0 b             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.57%      20.000us      20.000us           0 b           0 b           0 b           0 b             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.17%       9.000us         0.17%       9.000us       0.409us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     307.000us         8.81%     307.000us     153.500us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     439.000us        12.60%     439.000us      73.167us           0 b           0 b           0 b           0 b             6  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      68.000us         1.95%      68.000us      68.000us           0 b           0 b           0 b           0 b             1  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.082ms        31.05%       1.082ms     360.667us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         1.89%     101.000us         1.89%     101.000us      16.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.14%       5.000us       2.500us           0 b           0 b           0 b           0 b             2  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us      12.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      36.000us         1.03%      36.000us      12.000us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.26%       9.000us       2.250us           0 b           0 b           0 b           0 b             4  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      33.000us         0.95%      33.000us       5.500us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us         0.20%       7.000us       2.333us           0 b           0 b           0 b           0 b             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.000us         1.87%      65.000us      13.000us           0 b           0 b           0 b           0 b             5  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     208.000us         5.97%     208.000us      52.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     652.000us        18.71%     652.000us     108.667us           0 b           0 b           0 b           0 b             6  
                                  cudaStreamIsCapturing         0.08%       4.000us         0.08%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                             cudaMalloc        80.77%       4.305ms        80.77%       4.305ms       1.076ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     393.000us        11.28%     393.000us     131.000us           0 b           0 b           0 b           0 b             3  
                                  cudaDeviceSynchronize         0.08%       4.000us         0.08%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.330ms
Self CUDA time total: 3.485ms

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     606.01 Mb     606.01 Mb           128  
                                       cudaLaunchKernel        19.58%     868.000us        19.58%     868.000us      11.890us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            73  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.57%      20.000us      10.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.06%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.000us         0.86%      30.000us       5.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         0.32%      11.000us      11.000us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      53.000us         1.52%      53.000us      10.600us           0 b           0 b           0 b           0 b             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.57%      20.000us      20.000us           0 b           0 b           0 b           0 b             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.18%       8.000us         0.18%       8.000us       0.364us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     310.000us         8.91%     310.000us     155.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     439.000us        12.61%     439.000us      73.167us           0 b           0 b           0 b           0 b             6  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      67.000us         1.93%      67.000us      67.000us           0 b           0 b           0 b           0 b             1  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.081ms        31.06%       1.081ms     360.333us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         2.07%      92.000us         2.07%      92.000us      15.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.14%       5.000us       2.500us           0 b           0 b           0 b           0 b             2  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us      12.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      37.000us         1.06%      37.000us      12.333us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.26%       9.000us       2.250us           0 b           0 b           0 b           0 b             4  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      32.000us         0.92%      32.000us       5.333us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       2.000us           0 b           0 b           0 b           0 b             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      64.000us         1.84%      64.000us      12.800us           0 b           0 b           0 b           0 b             5  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     204.000us         5.86%     204.000us      51.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     652.000us        18.74%     652.000us     108.667us           0 b           0 b           0 b           0 b             6  
                                  cudaStreamIsCapturing         0.09%       4.000us         0.09%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                             cudaMalloc        77.97%       3.457ms        77.97%       3.457ms     864.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     392.000us        11.26%     392.000us     130.667us           0 b           0 b           0 b           0 b             3  
                                  cudaDeviceSynchronize         0.11%       5.000us         0.11%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.434ms
Self CUDA time total: 3.480ms

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     604.51 Mb     604.51 Mb           128  
                                       cudaLaunchKernel        13.97%     763.000us        13.97%     763.000us      10.452us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            73  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.57%      20.000us      10.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.06%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.000us         0.86%      30.000us       5.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us      12.000us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      52.000us         1.49%      52.000us      10.400us           0 b           0 b           0 b           0 b             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.57%      20.000us      20.000us           0 b           0 b           0 b           0 b             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.11%       6.000us         0.11%       6.000us       0.273us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     309.000us         8.88%     309.000us     154.500us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     439.000us        12.62%     439.000us      73.167us           0 b           0 b           0 b           0 b             6  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      67.000us         1.93%      67.000us      67.000us           0 b           0 b           0 b           0 b             1  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.082ms        31.10%       1.082ms     360.667us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         1.32%      72.000us         1.32%      72.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                                  cudaStreamIsCapturing         0.04%       2.000us         0.04%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                             cudaMalloc        84.49%       4.613ms        84.49%       4.613ms       1.153ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.14%       5.000us       2.500us           0 b           0 b           0 b           0 b             2  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us      12.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      36.000us         1.03%      36.000us      12.000us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.26%       9.000us       2.250us           0 b           0 b           0 b           0 b             4  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      33.000us         0.95%      33.000us       5.500us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       2.000us           0 b           0 b           0 b           0 b             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.000us         1.87%      65.000us      13.000us           0 b           0 b           0 b           0 b             5  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     202.000us         5.81%     202.000us      50.500us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     652.000us        18.74%     652.000us     108.667us           0 b           0 b           0 b           0 b             6  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     392.000us        11.27%     392.000us     130.667us           0 b           0 b           0 b           0 b             3  
                                  cudaDeviceSynchronize         0.07%       4.000us         0.07%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.460ms
Self CUDA time total: 3.479ms

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     604.63 Mb     604.63 Mb           128  
                                       cudaLaunchKernel        35.17%     786.000us        35.17%     786.000us      10.767us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            73  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.000us         0.60%      21.000us      10.500us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.06%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.000us         0.86%      30.000us       5.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         0.32%      11.000us      11.000us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      53.000us         1.52%      53.000us      10.600us           0 b           0 b           0 b           0 b             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.57%      20.000us      20.000us           0 b           0 b           0 b           0 b             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.22%       5.000us         0.22%       5.000us       0.227us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     305.000us         8.76%     305.000us     152.500us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     441.000us        12.67%     441.000us      73.500us           0 b           0 b           0 b           0 b             6  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      68.000us         1.95%      68.000us      68.000us           0 b           0 b           0 b           0 b             1  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.079ms        31.01%       1.079ms     359.667us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         3.04%      68.000us         3.04%      68.000us      11.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                                  cudaStreamIsCapturing         0.09%       2.000us         0.09%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                             cudaMalloc        61.25%       1.369ms        61.25%       1.369ms     342.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.14%       5.000us       2.500us           0 b           0 b           0 b           0 b             2  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us      12.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      37.000us         1.06%      37.000us      12.333us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.26%       9.000us       2.250us           0 b           0 b           0 b           0 b             4  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      33.000us         0.95%      33.000us       5.500us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       2.000us           0 b           0 b           0 b           0 b             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.000us         1.87%      65.000us      13.000us           0 b           0 b           0 b           0 b             5  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     208.000us         5.98%     208.000us      52.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     653.000us        18.76%     653.000us     108.833us           0 b           0 b           0 b           0 b             6  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     388.000us        11.15%     388.000us     129.333us           0 b           0 b           0 b           0 b             3  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.235ms
Self CUDA time total: 3.480ms

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     606.01 Mb     606.01 Mb           128  
                                       cudaLaunchKernel        34.77%     776.000us        34.77%     776.000us      10.630us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            73  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.57%      20.000us      10.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.06%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      31.000us         0.89%      31.000us       5.167us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         0.32%      11.000us      11.000us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      52.000us         1.49%      52.000us      10.400us           0 b           0 b           0 b           0 b             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.000us         0.55%      19.000us      19.000us           0 b           0 b           0 b           0 b             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.27%       6.000us         0.27%       6.000us       0.273us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     309.000us         8.87%     309.000us     154.500us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     439.000us        12.60%     439.000us      73.167us           0 b           0 b           0 b           0 b             6  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      67.000us         1.92%      67.000us      67.000us           0 b           0 b           0 b           0 b             1  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.080ms        31.00%       1.080ms     360.000us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         3.00%      67.000us         3.00%      67.000us      11.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                                  cudaStreamIsCapturing         0.09%       2.000us         0.09%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                             cudaMalloc        61.65%       1.376ms        61.65%       1.376ms     344.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         0.32%      11.000us      11.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      37.000us         1.06%      37.000us      12.333us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
